date,code,open,high,low,close,preclose,volume,amount,pctChg
2011-10-31,sh.000037,3400.5660,3400.9310,3363.3440,3388.3660,3404.2290,174764400,2380450000.0000,-0.465980
2011-11-01,sh.000037,3366.5740,3431.7300,3358.1400,3410.3920,3388.3660,172279600,2262030000.0000,0.650052
2011-11-02,sh.000037,3367.2520,3483.9060,3356.7390,3482.5620,3410.3920,200414800,2741530000.0000,2.116177
2011-11-03,sh.000037,3490.7540,3562.4370,3490.7270,3517.0530,3482.5620,277805500,3896880000.0000,0.990391
2011-11-04,sh.000037,3539.2370,3557.3400,3500.5190,3529.8710,3517.0530,180024800,2553410000.0000,0.364456
2011-11-07,sh.000037,3513.1330,3564.3010,3509.4760,3530.5050,3529.8710,172032900,2295460000.0000,0.017955
2011-11-08,sh.000037,3532.7110,3540.2660,3470.4750,3480.7980,3530.5050,141551100,1851550000.0000,-1.407923
2011-11-09,sh.000037,3489.9580,3508.4450,3451.3180,3505.6080,3480.7980,118615500,1703840000.0000,0.712762
2011-11-10,sh.000037,3475.7300,3508.4450,3469.7780,3490.4260,3505.6080,142781900,2158230000.0000,-0.433074
2011-11-11,sh.000037,3493.6940,3508.7680,3474.5880,3485.9960,3490.4260,100672100,1455550000.0000,-0.126917
2011-11-14,sh.000037,3506.8270,3553.9700,3506.8270,3553.0620,3485.9960,142377700,2031980000.0000,1.923867
2011-11-15,sh.000037,3554.9040,3568.3510,3544.7330,3564.9560,3553.0620,136669200,1913530000.0000,0.334755
2011-11-16,sh.000037,3584.5250,3597.6390,3470.0950,3483.4900,3564.9560,228949300,2959600000.0000,-2.285191
2011-11-17,sh.000037,3485.8230,3507.6810,3463.8590,3473.1230,3483.4900,125799300,1686350000.0000,-0.297602
2011-11-18,sh.000037,3458.2390,3458.2390,3373.0620,3381.9780,3473.1230,149464900,2001670000.0000,-2.624296
2011-11-21,sh.000037,3378.3010,3392.4140,3351.0900,3383.7070,3381.9780,95338900,1399550000.0000,0.051124
2011-11-22,sh.000037,3364.0540,3388.5040,3344.1460,3377.6830,3383.7070,100441100,1465550000.0000,-0.178027
2011-11-23,sh.000037,3384.5620,3393.4650,3355.5810,3373.3840,3377.6830,82769100,1195020000.0000,-0.127279
2011-11-24,sh.000037,3352.9860,3421.6920,3340.9710,3413.2610,3373.3840,110556200,1625740000.0000,1.182105
2011-11-25,sh.000037,3404.8870,3429.3950,3389.5320,3401.1210,3413.2610,86356200,1254430000.0000,-0.355668
2011-11-28,sh.000037,3409.6390,3424.3510,3388.6790,3423.2890,3401.1210,89808300,1330250000.0000,0.651784
2011-11-29,sh.000037,3451.9260,3463.6610,3443.0850,3461.0010,3423.2890,161820400,2429230000.0000,1.101628
2011-11-30,sh.000037,3459.5940,3463.4400,3343.4380,3378.2580,3461.0010,174401200,2365170000.0000,-2.390722
2011-12-01,sh.000037,3445.7180,3494.1890,3410.6590,3446.2390,3378.2580,238379800,3179130000.0000,2.012308
2011-12-02,sh.000037,3428.8500,3439.6980,3389.2090,3414.9540,3446.2390,175995800,2165620000.0000,-0.907799
2011-12-05,sh.000037,3411.1840,3411.1840,3304.9120,3315.6530,3414.9540,145611200,1872870000.0000,-2.907829
2011-12-06,sh.000037,3302.7890,3314.8870,3271.2220,3300.8310,3315.6530,113892100,1490400000.0000,-0.447032
2011-12-07,sh.000037,3299.4690,3324.7660,3287.8410,3312.9920,3300.8310,119257500,1440010000.0000,0.368419
2011-12-08,sh.000037,3305.5150,3324.3690,3237.8010,3289.4060,3312.9920,142850000,1814800000.0000,-0.711923
2011-12-09,sh.000037,3269.3430,3290.0800,3219.2010,3256.8500,3289.4060,129126700,1648800000.0000,-0.989720
2011-12-12,sh.000037,3243.5580,3254.8500,3213.5530,3214.8150,3256.8500,80156800,1033210000.0000,-1.290669
2011-12-13,sh.000037,3196.4470,3206.1170,3123.1350,3136.4510,3214.8150,116944000,1439980000.0000,-2.437590
2011-12-14,sh.000037,3124.5250,3141.8500,3087.9200,3101.5870,3136.4510,83591800,991520000.0000,-1.111575
2011-12-15,sh.000037,3086.9880,3087.4320,3029.3630,3054.8890,3101.5870,113123700,1282880000.0000,-1.505616
2011-12-16,sh.000037,3051.9260,3129.3570,3041.9430,3127.0300,3054.8890,105908800,1244600000.0000,2.361497
2011-12-19,sh.000037,3106.7830,3145.1780,3058.1470,3143.2960,3127.0300,105739500,1342730000.0000,0.520170
2011-12-20,sh.000037,3143.1480,3174.9040,3116.6930,3120.9690,3143.2960,101648700,1305010000.0000,-0.710302
2011-12-21,sh.000037,3145.7090,3155.3210,3079.9860,3082.4300,3120.9690,103812800,1225960000.0000,-1.234843
2011-12-22,sh.000037,3066.4270,3079.0160,2985.3310,3062.1140,3082.4300,153078200,1626200000.0000,-0.659088
2011-12-23,sh.000037,3049.8970,3095.9190,3042.8320,3069.5840,3062.1140,97126100,1085930000.0000,0.243948
2011-12-26,sh.000037,3054.1810,3071.1280,3017.5970,3022.4360,3069.5840,79464900,908970000.0000,-1.535972
